year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct
2016,BEN,USA,ALL,58714476,2.2%
2016,BEN,VCT,ALL,31940,0.0012%
2016,BEN,AUS,ALL,715233,0.027%
2016,BEN,KIR,ALL,4212,0.00016%
2016,BEN,MHL,ALL,190471,0.0072%
2016,BEN,NFK,ALL,9724,0.00037%
2016,BEN,NZL,ALL,152190,0.0058%
2016,BEN,PCN,ALL,4351,0.00017%
2016,BEN,TKL,ALL,11963,0.00046%
2016,BEN,ARG,ALL,2363464,0.090%
2016,BEN,BOL,ALL,567,0.000022%
2016,BEN,BRA,ALL,52104470,2.0%
2016,BEN,CHL,ALL,448298,0.017%
2016,BEN,COL,ALL,6955258,0.26%
2016,BEN,ECU,ALL,19494,0.00074%
2016,BEN,GUY,ALL,761,0.000029%
2016,BEN,PER,ALL,471748,0.018%
2016,BEN,PRY,ALL,33696,0.0013%
2016,BEN,URY,ALL,1792270,0.068%
2016,BEN,VEN,ALL,2779710,0.11%
